,car_name,brand,model,Age_of_vehicle,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price
22,Maruti Baleno,Maruti,Baleno,8,20000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.0,8.675
23,Maruti Swift Dzire,Maruti,Swift Dzire,7,40000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,5.75,8.69
25,Volkswagen Vento,Volkswagen,Vento,10,47000.0,Dealer,Petrol,Manual,16.09,1598.0,103.2,5.0,4.25,13.099999999999998
26,Maruti Alto,Maruti,Alto,10,25000.0,Dealer,Petrol,Manual,20.92,998.0,67.1,5.0,2.3,4.112027027027027
27,Hyundai Creta,Hyundai,Creta,4,15000.0,Individual,Diesel,Manual,19.67,1582.0,126.2,5.0,12.25,14.625
29,Honda City,Honda,City,8,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,7.5,14.465
30,Mahindra Bolero,Mahindra,Bolero,12,25000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,3.5,9.87
31,Maruti Swift Dzire,Maruti,Swift Dzire,8,90000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,6.0,8.329472891566265
32,Maruti Swift Dzire,Maruti,Swift Dzire,10,45000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,3.9,8.329472891566265
33,Honda City,Honda,City,16,77253.0,Dealer,Petrol,Manual,17.7,1497.0,78.0,5.0,1.45,14.74
34,Hyundai i20,Hyundai,i20,5,25000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,7.0,10.810042134831459
36,Renault KWID,Renault,KWID,6,30000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.4,5.05
37,Honda Amaze,Honda,Amaze,7,39993.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5.0,4.65,8.47
38,Hyundai Santro,Hyundai,Santro,14,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,1.25,6.399390243902439
39,Mahindra XUV500,Mahindra,XUV500,11,185000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,6.0,19.975
40,Maruti Swift Dzire,Maruti,Swift Dzire,10,90000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,3.8,8.329472891566265
44,Hyundai i20,Hyundai,i20,5,15000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,8.5,10.810042134831459
45,Hyundai i20,Hyundai,i20,5,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.98,10.145
46,Honda City,Honda,City,8,31180.0,Dealer,Petrol,Automatic,18.0,1497.0,117.3,5.0,7.0,14.74
50,Maruti Swift Dzire,Maruti,Swift Dzire,9,56000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,4.1,8.329472891566265
54,Maruti Baleno,Maruti,Baleno,7,52427.0,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5.0,5.9,8.55
55,Mahindra Bolero,Mahindra,Bolero,3,40000.0,Individual,Diesel,Manual,21.0,1498.0,74.96,7.0,8.5,9.7
57,Mahindra KUV100,Mahindra,KUV100,5,17000.0,Individual,Petrol,Manual,18.15,1198.0,82.0,5.0,5.5,7.815
59,Maruti Baleno,Maruti,Baleno,7,22000.0,Dealer,Petrol,Manual,15.4,1590.0,94.0,5.0,6.25,8.675
60,Maruti Swift Dzire,Maruti,Swift Dzire,7,54000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,6.0,8.69
61,Maruti Wagon R,Maruti,Wagon R,4,10000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,4.45,5.95
62,Maruti Ignis,Maruti,Ignis,4,20000.0,Individual,Petrol,Manual,20.89,1197.0,81.8,5.0,5.3,7.165
64,Maruti Wagon R,Maruti,Wagon R,5,53237.0,Trustmark Dealer,CNG,Manual,26.6,998.0,58.16,5.0,4.1,6.005
65,Datsun RediGO,Datsun,RediGO,5,27263.0,Individual,Petrol,Manual,22.5,999.0,68.0,5.0,3.5,4.395
67,Hyundai Verna,Hyundai,Verna,9,110000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5.0,5.2,15.465
68,Hyundai i20,Hyundai,i20,7,70000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,7.5,11.21
69,Maruti Swift Dzire,Maruti,Swift Dzire,6,70000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,5.6,8.329472891566265
72,Hyundai i20,Hyundai,i20,4,39000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,6.55,10.72
73,Hyundai Santro,Hyundai,Santro,16,56000.0,Dealer,Petrol,Manual,17.8,1086.0,63.0,5.0,1.25,6.399390243902439
76,Hyundai i20,Hyundai,i20,5,34000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.5,10.475
77,Mahindra Scorpio,Mahindra,Scorpio,6,50000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,11.5,17.51
78,Volkswagen Vento,Volkswagen,Vento,11,77400.0,Individual,Diesel,Manual,20.54,1598.0,103.6,5.0,5.0,13.294659090909091
79,Mahindra Marazzo,Mahindra,Marazzo,4,36000.0,Individual,Diesel,Manual,17.3,1497.0,121.0,7.0,9.9,15.16
80,Hyundai Verna,Hyundai,Verna,10,47876.0,Dealer,Diesel,Manual,25.0,1493.0,113.42,5.0,5.51,15.455
81,Mahindra XUV500,Mahindra,XUV500,5,21500.0,Individual,Diesel,Automatic,15.1,2179.0,152.87,7.0,16.5,19.91
82,Hyundai Grand,Hyundai,Grand,8,75000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,3.5,7.071195054945055
83,Ford Aspire,Ford,Aspire,6,58000.0,Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,5.0,7.775
84,Maruti Swift Dzire,Maruti,Swift Dzire,5,30000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,5.75,8.555
85,Hyundai Grand,Hyundai,Grand,5,50000.0,Individual,Diesel,Manual,24.0,1186.0,73.97,5.0,5.45,7.071195054945055
86,Ford Figo,Ford,Figo,6,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,5.25,6.965
87,Honda Amaze,Honda,Amaze,9,50000.0,Individual,Petrol,Manual,18.0,1198.0,86.7,5.0,4.0,8.435
88,Maruti Wagon R,Maruti,Wagon R,17,37000.0,Dealer,Petrol,Manual,14.0,1061.0,64.0,5.0,1.55,6.05
90,Maruti Swift Dzire,Maruti,Swift Dzire,7,47000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,5.45,8.329472891566265
91,Honda City,Honda,City,10,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,5.45,15.29
92,Renault KWID,Renault,KWID,7,25000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5.0,2.4,4.855
93,Maruti Vitara,Maruti,Vitara,5,26000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,7.25,10.815
94,Ford Aspire,Ford,Aspire,6,30000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,4.8,7.65
95,Hyundai i20,Hyundai,i20,10,15000.0,Individual,Petrol,Manual,18.5,1197.0,82.9,5.0,3.75,10.475
96,Maruti Swift,Maruti,Swift,12,160000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5.0,2.25,7.746715686274511
97,Tata Tiago,Tata,Tiago,6,32100.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,4.0,6.76
98,Hyundai i20,Hyundai,i20,7,22000.0,Dealer,Petrol,Manual,18.5,1197.0,82.9,5.0,5.5,10.72
99,Mahindra Scorpio,Mahindra,Scorpio,7,44000.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,10.5,17.309853556485354
100,Volkswagen Polo,Volkswagen,Polo,7,78000.0,Dealer,Petrol,Manual,18.78,1198.0,74.0,5.0,4.5,9.065
102,Maruti Wagon R,Maruti,Wagon R,9,37000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.5,6.05
103,Honda City,Honda,City,9,69000.0,Dealer,Diesel,Manual,25.1,1498.0,98.6,5.0,5.5,16.17
104,Kia Seltos,Kia,Seltos,4,12120.0,Individual,Petrol,Manual,16.8,1497.0,113.4,5.0,10.8,15.195
105,Maruti Baleno,Maruti,Baleno,7,52000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,5.75,8.69356846473029
106,Toyota Innova,Toyota,Innova,7,120000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,9.5,24.861428571428572
107,Maruti Alto,Maruti,Alto,10,55000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,2.3,4.065
108,Hyundai i20,Hyundai,i20,12,160000.0,Individual,Diesel,Manual,21.9,1396.0,90.0,5.0,2.7,9.94
110,Ford Figo,Ford,Figo,12,40000.0,Individual,Petrol,Manual,15.6,1196.0,70.0,5.0,1.3,7.02
111,Maruti Swift Dzire,Maruti,Swift Dzire,11,46000.0,Dealer,Petrol,Manual,19.1,1197.0,85.8,5.0,3.7,8.24
112,Maruti Baleno,Maruti,Baleno,6,25000.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5.0,5.7,8.55
114,Volkswagen Polo,Volkswagen,Polo,10,90000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5.0,3.65,9.283830409356725
115,Hyundai i20,Hyundai,i20,11,49566.0,Dealer,Petrol,Manual,18.5,1197.0,82.85,5.0,2.8,10.810042134831459
116,Hyundai Verna,Hyundai,Verna,5,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,12.5,15.69
117,Hyundai i20,Hyundai,i20,7,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,5.9,10.72
118,Maruti Celerio,Maruti,Celerio,5,5000.0,Individual,Petrol,Automatic,23.1,998.0,67.04,5.0,4.75,5.975
119,Ford Ecosport,Ford,Ecosport,6,55000.0,Dealer,Diesel,Manual,23.0,1498.0,98.96,5.0,6.85,11.965
120,Hyundai Verna,Hyundai,Verna,11,65000.0,Dealer,Diesel,Automatic,19.08,1582.0,126.32,5.0,3.8,14.583057553956834
121,Renault KWID,Renault,KWID,5,22000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.3,5.225
122,Maruti Baleno,Maruti,Baleno,5,7671.0,Trustmark Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,6.5,8.55
123,Maruti Wagon R,Maruti,Wagon R,7,66000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.25,5.95
124,Maruti Swift Dzire,Maruti,Swift Dzire,5,45156.0,Dealer,Petrol,Automatic,21.21,1197.0,81.8,5.0,6.4,8.3
125,Hyundai Venue,Hyundai,Venue,4,25000.0,Individual,Petrol,Manual,18.27,998.0,118.35,5.0,9.49,9.655
127,Hyundai Verna,Hyundai,Verna,8,120000.0,Individual,Diesel,Manual,23.9,1582.0,126.2,5.0,6.6,15.465
128,Maruti Swift,Maruti,Swift,9,28000.0,Dealer,Petrol,Manual,16.1,1197.0,85.0,5.0,4.35,7.81
129,Hyundai i20,Hyundai,i20,10,55000.0,Dealer,Diesel,Manual,21.9,1396.0,88.76,5.0,3.85,11.415
131,Hyundai Verna,Hyundai,Verna,4,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,12.5,15.69
133,Maruti Wagon R,Maruti,Wagon R,14,98780.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,1.55,6.185
134,Maruti Swift,Maruti,Swift,8,58000.0,Dealer,Diesel,Manual,25.2,1248.0,74.0,5.0,4.15,7.746715686274511
135,Maruti Alto,Maruti,Alto,12,30000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.51,4.112027027027027
136,Mahindra Scorpio,Mahindra,Scorpio,7,46400.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,11.5,17.51
137,Hyundai i10,Hyundai,i10,9,32111.0,Trustmark Dealer,Petrol,Manual,19.81,1086.0,68.05,5.0,3.1,7.138266666666667
138,Datsun GO,Datsun,GO,8,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,3.5,6.34
139,Mahindra Scorpio,Mahindra,Scorpio,6,30000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,11.25,17.51
142,Datsun GO,Datsun,GO,5,10000.0,Individual,Petrol,Manual,20.62,1198.0,67.0,7.0,4.8,6.53
143,Maruti Swift Dzire,Maruti,Swift Dzire,6,25000.0,Individual,Diesel,Automatic,28.4,1248.0,74.02,5.0,8.5,8.329472891566265
144,Hyundai Creta,Hyundai,Creta,6,102000.0,Dealer,Diesel,Automatic,17.01,1582.0,126.2,5.0,11.0,15.725
145,Maruti Swift,Maruti,Swift,5,35000.0,Dealer,Petrol,Manual,22.0,1197.0,81.8,5.0,5.75,7.746715686274511
147,Maruti Swift Dzire,Maruti,Swift Dzire,11,49948.0,Dealer,Petrol,Manual,17.5,1298.0,85.8,5.0,3.4,8.3
149,Ford Ecosport,Ford,Ecosport,5,55000.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,9.25,11.93
150,Hyundai Grand,Hyundai,Grand,8,36000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,4.0,6.525
152,Honda City,Honda,City,7,49625.0,Dealer,Petrol,Manual,17.8,1497.0,117.3,5.0,7.25,14.74
153,Maruti Swift Dzire,Maruti,Swift Dzire,9,35000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,6.0,8.329472891566265
154,Mahindra Scorpio,Mahindra,Scorpio,10,95000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,8.0,5.5,16.995
155,Ford Aspire,Ford,Aspire,6,36000.0,Dealer,Diesel,Manual,25.83,1498.0,99.0,5.0,5.85,9.9
156,Maruti Wagon R,Maruti,Wagon R,4,50000.0,Individual,Petrol,Manual,21.79,998.0,67.05,5.0,4.11,6.24
157,Maruti Swift Dzire,Maruti,Swift Dzire,8,26500.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,4.5,8.465
159,Volkswagen Polo,Volkswagen,Polo,8,46000.0,Dealer,Petrol,Manual,16.47,1198.0,74.0,5.0,4.55,9.283830409356725
160,Hyundai Grand,Hyundai,Grand,4,9000.0,Individual,Petrol,Manual,20.7,1197.0,81.86,5.0,7.1,7.435
163,Honda City,Honda,City,7,53000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5.0,7.7,14.74
167,Honda Amaze,Honda,Amaze,5,50000.0,Individual,Diesel,Manual,25.8,1498.0,98.6,5.0,7.2,10.325
168,Mahindra KUV,Mahindra,KUV,7,52000.0,Dealer,Diesel,Manual,25.32,1198.0,77.0,5.0,3.75,7.8038333333333325
170,Datsun GO,Datsun,GO,8,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,4.0,6.34
171,Renault Duster,Renault,Duster,8,48000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5.0,6.0,14.16888888888889
172,Honda Jazz,Honda,Jazz,5,18000.0,Individual,Petrol,Manual,18.7,1199.0,88.7,5.0,6.0,9.775
173,Maruti Wagon R,Maruti,Wagon R,11,57413.0,Individual,LPG,Manual,14.4,998.0,61.7,5.0,2.7,6.185586145648313
174,Hyundai i20,Hyundai,i20,8,30000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.0,10.145
175,Hyundai Verna,Hyundai,Verna,8,55000.0,Dealer,Diesel,Manual,23.9,1582.0,126.2,5.0,6.5,15.69
178,Maruti Swift,Maruti,Swift,5,10000.0,Individual,Petrol,Automatic,21.21,1197.0,81.8,5.0,6.6,7.715
182,Kia Seltos,Kia,Seltos,3,8000.0,Dealer,Petrol,Manual,16.8,1497.0,113.4,5.0,12.75,15.89
184,Maruti Swift,Maruti,Swift,8,65000.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.95,7.746715686274511
188,Hyundai Grand,Hyundai,Grand,7,25000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,4.75,7.295
191,Maruti Ciaz,Maruti,Ciaz,8,70000.0,Individual,Petrol,Manual,20.73,1373.0,91.1,5.0,5.3,11.07
192,Tata Tiago,Tata,Tiago,7,9500.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,5.3,6.675
193,Hyundai Verna,Hyundai,Verna,8,9100.0,Individual,Petrol,Manual,17.01,1591.0,121.3,5.0,6.5,13.025
195,Honda City,Honda,City,13,86000.0,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,3.35,14.205
198,Ford Figo,Ford,Figo,12,60000.0,Individual,Diesel,Manual,20.0,1399.0,68.0,5.0,3.0,8.737458333333333
199,Maruti Wagon R,Maruti,Wagon R,4,7883.0,Trustmark Dealer,Petrol,Automatic,21.5,1197.0,81.8,5.0,5.5,5.95
200,Maruti Swift Dzire,Maruti,Swift Dzire,10,50205.0,Trustmark Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,3.9,8.329472891566265
201,Mahindra Bolero,Mahindra,Bolero,15,220000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,2.6,9.7
202,Tata Tigor,Tata,Tigor,6,58000.0,Dealer,Diesel,Manual,24.7,1047.0,69.0,5.0,3.95,7.541666666666668
203,Mahindra Scorpio,Mahindra,Scorpio,11,170000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,8.0,5.5,17.165
204,Maruti Swift Dzire,Maruti,Swift Dzire,5,15000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,6.5,8.285
205,Maruti Swift,Maruti,Swift,7,71245.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,3.75,7.746715686274511
209,Kia Seltos,Kia,Seltos,4,7000.0,Individual,Petrol,Manual,16.1,1353.0,138.0,5.0,13.0,15.195
210,Maruti Alto,Maruti,Alto,5,20000.0,Individual,Petrol,Manual,23.95,998.0,67.05,5.0,3.6,4.112027027027027
211,Maruti Celerio,Maruti,Celerio,3,8700.0,Individual,Petrol,Manual,21.63,998.0,67.04,5.0,5.05,5.975
212,Maruti Alto,Maruti,Alto,4,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,3.1,4.065
213,Hyundai i20,Hyundai,i20,8,42000.0,Dealer,Petrol,Manual,18.6,1197.0,81.86,5.0,5.45,10.72
216,Mahindra Bolero,Mahindra,Bolero,17,120000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,1.5,9.87
217,Maruti Baleno,Maruti,Baleno,5,50000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,5.8,8.375
218,Maruti Wagon R,Maruti,Wagon R,12,58000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,2.5,6.24
219,Hyundai Verna,Hyundai,Verna,6,36000.0,Individual,Petrol,Manual,17.43,1396.0,105.5,5.0,6.5,13.53
222,Maruti Ertiga,Maruti,Ertiga,5,30000.0,Individual,Diesel,Manual,25.47,1248.0,88.5,7.0,4.1,10.45789156626506
223,Ford Ecosport,Ford,Ecosport,8,162828.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,5.31,11.965
224,Ford Ecosport,Ford,Ecosport,5,7500.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,8.9,11.718629283489095
225,Tata Safari,Tata,Safari,7,47227.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,7.75,18.13
226,Maruti Wagon R,Maruti,Wagon R,5,52000.0,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,4.35,6.19
227,Ford Figo,Ford,Figo,11,74000.0,Dealer,Diesel,Manual,20.0,1399.0,68.05,5.0,1.85,9.21
228,Mahindra Bolero,Mahindra,Bolero,12,47000.0,Dealer,Diesel,Manual,15.96,2523.0,62.1,7.0,4.4,9.87
229,Hyundai i20,Hyundai,i20,8,50000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,4.5,10.145
230,Maruti Baleno,Maruti,Baleno,6,100000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.0,8.78
231,Maruti Celerio,Maruti,Celerio,9,35000.0,Individual,Petrol,Manual,23.1,998.0,67.04,5.0,3.2,5.8
232,Hyundai i20,Hyundai,i20,7,50000.0,Individual,Diesel,Manual,21.19,1396.0,88.73,5.0,7.0,10.810042134831459
233,Ford Aspire,Ford,Aspire,5,10000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,6.3,7.65
234,Maruti Alto,Maruti,Alto,7,10370.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,3.2,4.06
235,Honda City,Honda,City,10,62000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5.0,4.65,14.74
238,Hyundai i20,Hyundai,i20,7,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.5,10.810042134831459
239,Maruti Swift,Maruti,Swift,6,60000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,4.45,7.715
240,Tata Safari,Tata,Safari,10,67231.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,7.05,18.13
241,Maruti Wagon R,Maruti,Wagon R,10,64000.0,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,2.7,6.005
243,Honda City,Honda,City,9,63000.0,Dealer,Diesel,Manual,26.0,1498.0,98.6,5.0,4.75,15.1924613003096
245,Honda City,Honda,City,12,55000.0,Dealer,Petrol,Manual,16.9,1497.0,100.0,5.0,3.5,14.74
246,Hyundai i20,Hyundai,i20,7,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,5.75,10.72
248,Renault KWID,Renault,KWID,6,17000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.6,5.05
249,Maruti Alto,Maruti,Alto,6,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,2.75,4.06
250,Datsun GO,Datsun,GO,7,33350.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,3.2,6.225
252,Hyundai Grand,Hyundai,Grand,8,62000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,3.7,6.525
254,Maruti Swift Dzire,Maruti,Swift Dzire,14,59000.0,Individual,Petrol,Manual,17.5,1298.0,85.8,5.0,2.75,8.285
256,Honda City,Honda,City,9,86113.0,Dealer,Petrol,Manual,17.4,1497.0,117.3,5.0,5.5,14.74
258,Maruti Swift Dzire,Maruti,Swift Dzire,5,10000.0,Individual,Diesel,Manual,28.4,1248.0,74.02,5.0,7.5,8.329472891566265
260,Maruti Wagon R,Maruti,Wagon R,8,92537.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,2.72,6.24
261,Maruti Ciaz,Maruti,Ciaz,4,27645.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,9.51,11.595719424460432
262,Maruti Alto,Maruti,Alto,10,46242.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.8,4.112027027027027
263,Honda City,Honda,City,10,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,5.45,15.29
264,Renault KWID,Renault,KWID,3,6000.0,Individual,Petrol,Manual,22.3,799.0,53.26,5.0,4.5,5.067586206896552
265,Hyundai i20,Hyundai,i20,6,64000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,4.8,10.24
266,Mahindra Scorpio,Mahindra,Scorpio,6,93000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,10.6,17.41
267,Maruti Alto,Maruti,Alto,10,26200.0,Dealer,Petrol,Manual,22.74,796.0,47.3,5.0,2.35,4.065
268,Maruti Baleno,Maruti,Baleno,6,25000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,5.9,8.55
273,Hyundai Santro,Hyundai,Santro,15,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,1.1,6.399390243902439
274,Mahindra Scorpio,Mahindra,Scorpio,16,110000.0,Individual,Diesel,Manual,13.5,2179.0,115.0,5.0,2.8,17.795
276,Honda City,Honda,City,5,25000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,7.5,14.905
277,Hyundai Grand,Hyundai,Grand,8,36000.0,Dealer,Petrol,Manual,18.9,1197.0,81.86,5.0,4.0,6.525
278,Maruti Swift Dzire,Maruti,Swift Dzire,8,40000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,5.3,8.329472891566265
279,Mahindra Thar,Mahindra,Thar,5,25000.0,Individual,Diesel,Manual,16.55,2498.0,105.0,6.0,8.7,15.16
280,Renault KWID,Renault,KWID,5,30038.0,Dealer,Petrol,Manual,25.17,799.0,53.3,5.0,2.95,4.605
281,Tata Tiago,Tata,Tiago,6,53000.0,Individual,Diesel,Manual,27.28,1047.0,69.0,5.0,3.7,6.773722222222222
282,Maruti Swift,Maruti,Swift,5,5000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,5.3,7.825
284,Renault KWID,Renault,KWID,6,35000.0,Individual,Petrol,Automatic,24.04,999.0,67.0,5.0,3.5,4.855
285,Ford Ecosport,Ford,Ecosport,10,62000.0,Dealer,Diesel,Manual,22.7,1498.0,89.84,5.0,4.7,11.765
286,Ford Aspire,Ford,Aspire,8,42000.0,Individual,Diesel,Manual,25.83,1498.0,99.0,5.0,3.9,9.815
288,Mahindra Scorpio,Mahindra,Scorpio,8,80000.0,Individual,Diesel,Manual,15.4,2179.0,120.0,7.0,9.2,17.51
